Location;Latitude;Longitude;Time_Occurred;Area_ID;Area_Name;Reporting_District_no;Part 1-2;Victim_Age;Victim_Sex;Victim_Descent;Premise_Description;Weapon_Used_Code;Weapon_Description;Status;Status_Description;Crime_Category
11700 VICTORY BL;34,1867;-118,3878;1713;15;N Hollywood;1525;1;0;M;W;GAS STATION;None;None;IC;Invest Cont;Property Crimes
6300 VARIEL AV;34,1845;-118,5928;730;21;Topanga;2158;1;47;M;H;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
11600 VANPORT AV;34,282;-118,3944;1200;16;Foothill;1605;2;61;F;H;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
1600 W 60TH PL;33,9851;-118,3046;2030;12;77th Street;1233;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
500 W 88TH ST;33,9574;-118,2847;2000;18;Southeast;1801;2;31;F;B;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Violent Crimes
600 E 52ND PL;33,995;-118,2652;2107;13;Newton;1373;2;0;F;H;STREET;106;UNKNOWN FIREARM;IC;Invest Cont;Crimes against Public Order
800 N KINGSLEY DR;34,0849;-118,3028;2010;6;Hollywood;678;2;31;F;B;SINGLE FAMILY DWELLING;511;VERBAL THREAT;AA;Adult Arrest;Crimes against Public Order
MAIN ST;34,0238;-118,2693;700;13;Newton;1331;1;45;M;B;STREET;114;AIR PISTOL/REVOLVER/RIFLE/BB GUN;AA;Adult Arrest;Violent Crimes
VERMONT AV;34,0691;-118,2917;915;20;Olympic;2019;1;0;X;X;STREET;None;None;AA;Adult Arrest;Property Crimes
7000 CHIMINEAS AV;34,1975;-118,5284;50;10;West Valley;1025;2;28;M;H;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
13100 BRANFORD ST;34,2372;-118,4183;1905;19;Mission;1979;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
OLYMPIC BL;34,0188;-118,1949;2100;4;Hollenbeck;499;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
3100 8TH AV;34,0276;-118,326;1150;3;Southwest;335;2;15;F;H;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
21900 VANOWEN ST;34,1938;-118,6037;1200;21;Topanga;2156;1;21;M;X;DEPARTMENT STORE;None;None;IC;Invest Cont;Property Crimes
1500 S WOOSTER ST;34,052;-118,383;1900;8;West LA;859;1;0;Unknown;Unknown;STREET;None;None;AA;Adult Arrest;Property Crimes
7500 LEMP AV;34,2067;-118,3845;2053;15;N Hollywood;1505;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
3400 WHITTIER BL;34,0278;-118,201;1612;4;Hollenbeck;478;1;0;X;X;OTHER BUSINESS;None;None;IC;Invest Cont;Property Crimes
4900 SAN FERNANDO RD;34,1402;-118,2691;800;11;Northeast;1102;1;0;Unknown;Unknown;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
1000 N SERRANO AV;34,0885;-118,3064;2320;6;Hollywood;678;1;25;M;W;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
1500 5TH AV;34,0436;-118,3225;1900;7;Wilshire;769;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
4300 W MARTIN LUTHER KING JR BL;34,0163;-118,3441;1415;3;Southwest;362;1;13;M;H;JUNIOR HIGH SCHOOL;500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;Violent Crimes
1400 S BURLINGTON AV;34,0424;-118,281;2125;2;Rampart;295;2;65;F;H;VEHICLE, PASSENGER/TRUCK;500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;Property Crimes
1500 N SERRANO AV;34,1;-118,3113;1300;6;Hollywood;648;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
5700 LEXINGTON AV;34,0928;-118,3158;445;6;Hollywood;668;2;26;M;H;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
600 N WILTON PL;34,0799;-118,3181;1500;20;Olympic;2001;1;52;M;B;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
600 E 83RD ST;33,9638;-118,2651;2315;12;77th Street;1269;1;26;F;W;STREET;None;None;IC;Invest Cont;Property Crimes
RAYEN ST;34,2319;-118,4677;1300;19;Mission;1981;1;52;F;H;SIDEWALK;112;TOY GUN;AA;Adult Arrest;Property Crimes
18200 KINZIE ST;34,2482;-118,5299;1200;17;Devonshire;1767;1;0;X;X;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
3900 S BUDLONG AV;34,0145;-118,298;1740;3;Southwest;377;1;29;F;H;SINGLE FAMILY DWELLING;500;UNKNOWN WEAPON/OTHER WEAPON;AA;Adult Arrest;Crimes against Public Order
13800 CUMPSTON ST;34,1694;-118,4341;1800;9;Van Nuys;946;1;40;M;W;DRIVEWAY;None;None;IC;Invest Cont;Property Crimes
86TH PL;33,9594;-118,2739;2200;18;Southeast;1802;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
13000 CARL ST;34,2688;-118,4158;1210;16;Foothill;1623;2;42;F;H;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
3400 GREENWOOD AV;34,0083;-118,4483;100;14;Pacific;1416;1;58;F;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
600 SWARTHMORE AV;34,0402;-118,5276;1415;8;West LA;823;2;55;M;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
9800 AIRPORT BL;33,9472;-118,3909;20;14;Pacific;1496;1;27;M;B;PARKING LOT;109;SEMI-AUTOMATIC PISTOL;IC;Invest Cont;Violent Crimes
400 N LA CIENEGA BL;34,0784;-118,3766;1600;7;Wilshire;711;1;45;F;A;CLOTHING STORE;None;None;IC;Invest Cont;Property Crimes
PICO BL;34,0486;-118,3347;1030;7;Wilshire;765;2;19;M;H;DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE);511;VERBAL THREAT;AA;Adult Arrest;Violent Crimes
7900 SELMA AV;34,0999;-118,3616;2200;6;Hollywood;632;2;0;F;O;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Crimes against Public Order
800 N CROFT AV;34,0854;-118,3742;2300;7;Wilshire;701;1;61;M;A;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
14600 RAYEN ST;34,2318;-118,4503;1355;19;Mission;1985;2;64;M;H;STREET;511;VERBAL THREAT;IC;Invest Cont;Crimes against Public Order
100 N CENTRE ST;33,7433;-118,2836;1230;5;Harbor;564;2;19;F;H;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
3400 MANITOU AV;34,072;-118,2047;1;4;Hollenbeck;424;1;0;Unknown;Unknown;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
700 E 87TH PL;33,9584;-118,263;1400;18;Southeast;1804;1;0;Unknown;Unknown;YARD (RESIDENTIAL/BUSINESS);None;None;IC;Invest Cont;Property Crimes
45TH ST;34,0029;-118,2732;1720;13;Newton;1352;2;37;F;B;VEHICLE, PASSENGER/TRUCK;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Property Crimes
7000 COLDWATER CANYON AV;34,1936;-118,4166;1730;15;N Hollywood;1522;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
600 E 83RD ST;33,9637;-118,2651;200;12;77th Street;1269;2;17;F;H;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
WILMINGTON ST;33,9325;-118,239;1900;18;Southeast;1837;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
2200 SICHEL ST;34,0702;-118,213;1200;4;Hollenbeck;422;2;74;F;H;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
1300 E 6TH ST;34,0382;-118,2356;330;1;Central;159;1;0;M;W;RESTAURANT/FAST FOOD;None;None;IC;Invest Cont;Property Crimes
FOUNTAIN;34,0944;-118,319;1600;6;Hollywood;667;1;20;F;H;STREET;None;None;IC;Invest Cont;Property Crimes
3300 S LA CIENEGA BL;34,0272;-118,372;1200;3;Southwest;311;2;0;Unknown;Unknown;OTHER BUSINESS;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
S LAKE ST;34,0629;-118,2741;1230;2;Rampart;245;1;29;M;O;PARKING UNDERGROUND/BUILDING;None;None;IC;Invest Cont;Property Crimes
300 W ANAHEIM ST;33,7798;-118,2649;1305;5;Harbor;526;1;0;X;X;MARKET;None;None;AA;Adult Arrest;Property Crimes
100 E 36TH ST;34,0163;-118,2718;1900;13;Newton;1342;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
1000 S PARK VIEW ST;34,0533;-118,2829;2230;2;Rampart;271;1;20;F;H;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Property Crimes
1500 ALCAZAR ST;34,0635;-118,2058;1330;4;Hollenbeck;443;2;48;M;W;WAREHOUSE;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
9100 ALCOTT ST;34,0543;-118,39;1600;8;West LA;857;2;42;M;W;STREET;None;None;IC;Invest Cont;Other Crimes
11000 W PICO BL;34,0383;-118,4324;1315;8;West LA;884;2;65;M;W;RESTAURANT/FAST FOOD;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
FULTON;34,1826;-118,3916;2330;15;N Hollywood;1525;2;65;M;W;STREET;None;None;AA;Adult Arrest;Fraud and White-Collar Crimes
10400 CALIFA ST;34,1779;-118,3586;2130;15;N Hollywood;1539;2;46;M;O;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
1700 AMELIA AV;33,7601;-118,3012;513;5;Harbor;521;1;77;M;W;STREET;None;None;IC;Invest Cont;Property Crimes
1200 W 38TH ST;34,0173;-118,2987;1700;3;Southwest;377;2;21;M;H;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
10600 EL DORADO AV;34,2629;-118,4217;1515;16;Foothill;1643;2;34;F;H;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
14700 PARTHENIA ST;34,2282;-118,4536;1915;19;Mission;1984;2;39;M;H;PARKING LOT;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
9100 PATRICK AV;34,2346;-118,4147;2215;19;Mission;1979;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
2100 ALTA ST;34,0691;-118,2038;2200;4;Hollenbeck;424;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
KELVIN;34,1938;-118,5864;215;21;Topanga;2157;2;0;M;W;RESTAURANT/FAST FOOD;None;None;AA;Adult Arrest;Property Crimes
6500 DENVER AV;33,9806;-118,2838;1915;12;77th Street;1249;1;31;M;B;GROUP HOME;305;FIXED OBJECT;AA;Adult Arrest;Violent Crimes
1900 E 112TH ST;33,9334;-118,2364;700;18;Southeast;1849;2;39;F;B;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
3100 OVERLAND AV;34,0265;-118,4184;2300;14;Pacific;1428;1;0;X;X;CELL PHONE STORE;500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;Property Crimes
600 W 6TH ST;33,7388;-118,2906;1500;5;Harbor;557;1;52;F;W;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
3900 ROXANNE AV;34,0148;-118,3487;1800;3;Southwest;362;1;26;F;B;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Property Crimes
COLDWATER CA;34,1325;-118,3974;2330;15;N Hollywood;1591;2;48;M;W;VEHICLE, PASSENGER/TRUCK;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
5500 OWENSMOUTH AV;34,1717;-118,6018;2115;21;Topanga;2177;2;26;F;H;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;Violent Crimes
ALVARADO;34,0579;-118,2759;2200;2;Rampart;246;1;32;F;B;STREET;None;None;IC;Invest Cont;Property Crimes
11400 MIRANDA ST;34,1749;-118,379;130;15;N Hollywood;1535;1;0;Unknown;Unknown;PARKING LOT;None;None;AA;Adult Arrest;Property Crimes
MARTIN LUTHER KING JR BL;34,0111;-118,2827;1730;3;Southwest;378;1;29;F;H;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Property Crimes
1800 MIRAMAR ST;34,063;-118,2678;10;2;Rampart;236;1;27;F;H;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Violent Crimes
18000 LAKE ENCINO DR;34,1449;-118,5252;5;10;West Valley;1094;2;82;M;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
12200 HART ST;34,1976;-118,3976;2200;15;N Hollywood;1503;2;35;F;O;VEHICLE, PASSENGER/TRUCK;None;None;IC;Invest Cont;Property Crimes
4500 S HOOVER ST;33,9995;-118,2893;2130;12;77th Street;1207;2;26;F;H;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
6400 VAN NUYS BL;34,1867;-118,4487;1730;9;Van Nuys;926;1;0;M;X;OTHER STORE;None;None;AA;Adult Arrest;Property Crimes
18500 CLARK ST;34,1704;-118,536;1700;10;West Valley;1063;2;56;F;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Crimes against Public Order
1000 W 39TH PL;34,0142;-118,2921;2200;3;Southwest;379;2;28;F;B;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
200 S KENMORE AV;34,0709;-118,2985;1410;20;Olympic;2016;1;42;F;H;SIDEWALK;223;UNKNOWN TYPE CUTTING INSTRUMENT;IC;Invest Cont;Violent Crimes
1400 S FAIRFAX AV;34,0515;-118,3667;2039;7;Wilshire;763;1;0;M;O;OTHER BUSINESS;None;None;IC;Invest Cont;Property Crimes
700 CRENSHAW BL;34,0606;-118,3197;300;7;Wilshire;749;1;0;Unknown;Unknown;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
S WESTLAKE AV;34,0634;-118,2705;1120;2;Rampart;236;1;36;M;K;OTHER RESIDENCE;None;None;IC;Invest Cont;Property Crimes
4600 COLISEUM ST;34,017;-118,3471;1330;3;Southwest;362;2;34;M;W;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
SATICOY;34,2074;-118,4182;230;15;N Hollywood;1501;2;22;F;H;STREET;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AO;Adult Other;Violent Crimes
900 S CITRUS AV;34,0588;-118,3406;1240;7;Wilshire;747;1;37;M;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
GRAND;34,0401;-118,2633;930;1;Central;182;1;25;M;W;STREET;None;None;IC;Invest Cont;Property Crimes
1700 W 22ND ST;34,0363;-118,2991;2000;3;Southwest;317;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
1700 ORCHID AV;34,103;-118,3402;430;6;Hollywood;645;1;-2;X;X;OTHER BUSINESS;500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;Property Crimes
400 E WASHINGTON BL;34,0289;-118,2602;1525;13;Newton;1313;2;65;M;H;RESTAURANT/FAST FOOD;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
4000 N LANKERSHIM BL;34,1413;-118,361;2030;15;N Hollywood;1586;2;44;M;H;SIDEWALK;511;VERBAL THREAT;AA;Adult Arrest;Crimes against Public Order
100 E 8TH ST;34,0423;-118,2527;1040;1;Central;174;2;0;M;O;OFFICE BUILDING/OFFICE;None;None;IC;Invest Cont;Property Crimes
6900 KESTER AV;34,196;-118,4575;2300;9;Van Nuys;914;1;37;M;H;PARKING LOT;None;None;AO;Adult Other;Property Crimes
600 S SPRING ST;34,046;-118,2509;1100;1;Central;164;1;25;M;O;OTHER BUSINESS;None;None;IC;Invest Cont;Property Crimes
600 S WESTERN AV;34,0655;-118,3114;1900;20;Olympic;2022;1;32;M;A;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
800 S WESTLAKE AV;34,0544;-118,2767;2014;2;Rampart;265;2;34;M;H;PORCH, RESIDENTIAL;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
3200 LARGA AV;34,1123;-118,2536;1200;11;Northeast;1133;2;84;M;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
9900 S SAN PEDRO ST;33,9456;-118,2695;1830;18;Southeast;1823;1;59;F;B;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);106;UNKNOWN FIREARM;IC;Invest Cont;Crimes against Public Order
200 MARKET ST;33,9888;-118,4716;2245;14;Pacific;1431;1;29;M;W;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);204;FOLDING KNIFE;AA;Adult Arrest;Crimes against Public Order
900 N ALAMEDA ST;34,0615;-118,2412;1730;1;Central;111;1;0;M;W;GAS STATION;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Property Crimes
24900 S AVALON BL;33,8001;-118,2639;930;5;Harbor;518;2;0;M;O;CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE);None;None;AA;Adult Arrest;Crimes against Public Order
600 S SAN PEDRO ST;34,0421;-118,2469;1200;1;Central;166;1;67;F;B;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
2600 W 17TH ST;34,0418;-118,3177;905;7;Wilshire;779;1;29;M;W;YARD (RESIDENTIAL/BUSINESS);None;None;IC;Invest Cont;Property Crimes
2500 SAWTELLE BL;34,0334;-118,4371;1230;8;West LA;892;1;26;F;B;STORAGE SHED;None;None;IC;Invest Cont;Property Crimes
200 WORLD WY;33,9449;-118,4059;506;14;Pacific;1494;2;42;M;H;SIDEWALK;None;None;IC;Invest Cont;Property Crimes
18500 SHERMAN WY;34,2012;-118,5392;1330;10;West Valley;1012;1;38;M;H;STREET;500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;Violent Crimes
22900 DOLOROSA ST;34,1701;-118,6255;1230;21;Topanga;2173;2;64;F;O;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
W JEFFERSON BL;34,0256;-118,3177;1200;3;Southwest;336;1;28;F;H;SIDEWALK;None;None;IC;Invest Cont;Property Crimes
GLENDALE;34,0962;-118,2592;2000;11;Northeast;1145;1;32;M;W;STREET;None;None;IC;Invest Cont;Property Crimes
39TH ST;34,0146;-118,313;310;3;Southwest;375;2;19;X;X;STREET;None;None;IC;Invest Cont;Crimes against Public Order
VERMONT AV;34,0763;-118,2917;2200;20;Olympic;2015;1;0;X;X;STREET;None;None;AO;Adult Other;Property Crimes
MIDVALE AV;34,0548;-118,4426;2130;8;West LA;833;1;19;M;H;GARAGE/CARPORT;None;None;IC;Invest Cont;Property Crimes
1400 W 53RD ST;33,9941;-118,3002;800;12;77th Street;1215;2;29;F;B;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
EUBANK;33,7958;-118,2565;1700;5;Harbor;519;1;0;X;X;STREET;None;None;IC;Invest Cont;Property Crimes
GATEWAY AV;34,0551;-118,233;1645;1;Central;119;2;0;M;H;LA UNION STATION (NOT LINE SPECIFIC);500;UNKNOWN WEAPON/OTHER WEAPON;AA;Adult Arrest;Violent Crimes
VENICE BL;34,0129;-118,4172;2300;14;Pacific;1437;1;34;M;W;MINI-MART;None;None;IC;Invest Cont;Property Crimes
S WESTERN AV;34,0559;-118,3091;1305;20;Olympic;2033;1;23;F;K;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
4600 W MARTIN LUTHER KING JR BL;34,0195;-118,3489;900;3;Southwest;362;2;64;F;B;BANK;None;None;IC;Invest Cont;Fraud and White-Collar Crimes
5000 COLISEUM ST;34,0183;-118,3536;900;3;Southwest;361;2;72;M;H;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Fraud and White-Collar Crimes
6400 SELMA AV;34,0998;-118,33;210;6;Hollywood;646;2;25;F;W;SIDEWALK;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
3500 GREENWOOD AV;34,0059;-118,447;730;14;Pacific;1434;2;39;M;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
1400 W 37TH PL;34,02;-118,3029;2100;3;Southwest;356;1;30;M;B;SINGLE FAMILY DWELLING;311;HAMMER;AO;Adult Other;Violent Crimes
300 E AVENUE 26;34,0765;-118,2131;100;4;Hollenbeck;415;2;0;F;H;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
8300 LINCOLN BL;33,9622;-118,4213;1330;14;Pacific;1474;1;0;X;X;PARKING LOT;515;PHYSICAL PRESENCE;AO;Adult Other;Property Crimes
8700 PERSHING DR;33,9547;-118,4413;2000;14;Pacific;1483;1;46;F;W;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;Property Crimes
5400 N SEPULVEDA BL;34,1685;-118,4662;240;9;Van Nuys;952;1;58;M;W;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Property Crimes
1400 S BEDFORD ST;34,0537;-118,3806;1430;8;West LA;859;1;0;Unknown;Unknown;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
500 S SPRING ST;34,0468;-118,2502;800;1;Central;154;2;30;F;B;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Crimes against Public Order
VENTURA;34,1436;-118,3953;1715;15;N Hollywood;1591;1;39;M;H;PARKING UNDERGROUND/BUILDING;None;None;IC;Invest Cont;Property Crimes
8600 LA TIJERA BL;33,9596;-118,3917;1108;14;Pacific;1487;2;0;X;X;PARKING LOT;None;None;IC;Invest Cont;Property Crimes
7800 N LANKERSHIM BL;34,2166;-118,3919;1200;16;Foothill;1684;1;43;M;H;STREET;305;FIXED OBJECT;IC;Invest Cont;Violent Crimes
LASSEN ST;34,25;-118,5233;1300;17;Devonshire;1774;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
1900 S GARTH AV;34,0407;-118,3791;1230;8;West LA;889;1;64;F;O;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Property Crimes
800 E 29TH ST;34,0181;-118,2612;1800;13;Newton;1333;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
7500 SHIRLEY AV;34,2066;-118,5579;1200;10;West Valley;1011;1;0;Unknown;Unknown;STREET;None;None;IC;Invest Cont;Property Crimes
4700 BEN AV;34,1558;-118,3943;1700;15;N Hollywood;1553;1;33;M;W;STREET;None;None;IC;Invest Cont;Property Crimes
43RD ST;34,005;-118,2392;1640;13;Newton;1347;2;0;M;H;VEHICLE, PASSENGER/TRUCK;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Property Crimes
600 WORLD WAY WY;33,942;-118,4095;1400;14;Pacific;1494;2;25;M;O;TRANSPORTATION FACILITY (AIRPORT);511;VERBAL THREAT;IC;Invest Cont;Crimes against Public Order
5100 S VAN NESS AV;33,9993;-118,3244;900;3;Southwest;392;2;7;F;H;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Crimes against Persons
300 E 12TH ST;34,0363;-118,2573;1500;1;Central;185;1;40;F;H;SIDEWALK;512;MACE/PEPPER SPRAY;IC;Invest Cont;Violent Crimes
9000 SEPULVEDA BL;34,2337;-118,4676;1120;19;Mission;1972;1;27;F;H;RESTAURANT/FAST FOOD;None;None;IC;Invest Cont;Property Crimes
HILL ST;34,0402;-118,2598;2120;1;Central;185;1;31;M;B;STREET;None;None;IC;Invest Cont;Property Crimes
22000 VANOWEN ST;34,1938;-118,6059;310;21;Topanga;2145;1;35;M;X;GAS STATION;307;VEHICLE;IC;Invest Cont;Property Crimes
4500 RODEO LN;34,0203;-118,3467;1100;3;Southwest;362;2;70;F;W;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;Violent Crimes
PICO BL;34,0486;-118,3347;1030;7;Wilshire;765;2;19;M;O;DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE);511;VERBAL THREAT;AA;Adult Arrest;Violent Crimes
1600 N CHEROKEE AV;34,0997;-118,335;1;6;Hollywood;646;2;30;F;H;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Crimes against Public Order
800 W 84TH ST;33,9624;-118,2907;1030;12;77th Street;1267;2;49;F;H;SINGLE FAMILY DWELLING;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;Violent Crimes
11200 TAMPA AV;34,2866;-118,5754;1600;17;Devonshire;1701;1;66;M;W;OTHER STORE;None;None;IC;Invest Cont;Property Crimes
100 N MOUNTAIN VIEW AV;34,0663;-118,2694;1830;2;Rampart;236;1;36;M;W;SINGLE FAMILY DWELLING;None;None;IC;Invest Cont;Property Crimes
700 S FIGUEROA ST;34,0483;-118,2631;1530;1;Central;161;1;28;M;H;DEPARTMENT STORE;None;None;IC;Invest Cont;Property Crimes
6400 YUCCA ST;34,104;-118,3297;1300;6;Hollywood;636;1;36;F;W;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;IC;Invest Cont;Property Crimes
12800 MOORPARK ST;34,1533;-118,4058;355;15;N Hollywood;1562;1;60;M;O;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);None;None;AA;Adult Arrest;Property Crimes
3900 INGLEWOOD BL;34,0037;-118,427;1220;14;Pacific;1446;1;53;M;H;SINGLE FAMILY DWELLING;109;SEMI-AUTOMATIC PISTOL;AA;Adult Arrest;Violent Crimes
14200 S VERMONT AV;33,9026;-118,2916;1200;18;Southeast;1871;2;0;X;X;VEHICLE, PASSENGER/TRUCK;None;None;IC;Invest Cont;Property Crimes
